the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
Aalto University,Aalto University,3,3458595,63981,15.05637328,11.06635707,FI,100,High (1M-5M)
Aarhus University,Aarhus University; University Of Aarhus,11,12716538,223932,16.35841399,12.31910218,DK,95,Elite (5M+)
Abertay University,Abertay University; Abertay University In Dundee,29,167994,5046,12.0316895,8.526549286,GB,90,Medium (100K-1M)
Adelphi University,Adelphi University,3,217389,8048,12.28944825,8.993303139,US,100,Medium (100K-1M)
Administrative Staff College of India,F College; Staff College,19,13657,636,9.52208071,6.456769656,IN,90,Low (<100K)
Allen University,Allen University,3,4941,231,8.505525387,5.446737372,US,100,Low (<100K)
American University,American University; American University School Of Communication; University American,51,1031404,30899,13.84643251,10.33851146,US,90,High (1M-5M)
American University of Afghanistan,American University Of Afghanistan,3,3881,327,8.264105764,5.793013608,AF,100,Low (<100K)
American University of Phnom Penh,American University Of Phnom Penh,4,305,115,5.723585102,4.753590191,KH,100,Low (<100K)
American University of Sharjah,American University Of Sharjah,20,408706,11387,12.9207538,9.340315448,AE,100,Medium (100K-1M)
Amherst College,Amherst College,3,693712,15283,13.44981361,9.634561809,US,100,Medium (100K-1M)
Amity University,Amity University; Amrita University,12,628596,24356,13.35124563,10.10057456,IN,91,Medium (100K-1M)
"Anna University, Chennai",Anna University,4,1486724,41849,14.21208627,10.64184708,IN,90,High (1M-5M)
Arcadia University,Arcadia University,3,71563,2272,11.17834743,7.728855824,US,100,Low (<100K)
Ariel University,Ariel University,3,352628,15286,12.77317179,9.634758073,IL,100,Medium (100K-1M)
Ashesi University,Ashesi University,3,3382,985,8.126518169,6.893656355,GH,100,Low (<100K)
Ashoka University,Ashoka University,3,23784,3176,10.07681041,8.063692634,IN,100,Low (<100K)
Aston University,Aston University; Aston University Cyber Security Innovation,9,1778237,36959,14.39113354,10.51759153,GB,90,High (1M-5M)
Ateneo de Manila University,Ateneo De Manila University,5,103165,6008,11.54409462,8.701013624,PH,100,Medium (100K-1M)
Athabasca University,Athabasca University,3,188782,6378,12.14835349,8.760766624,CA,100,Medium (100K-1M)
Auburn University,Auburn University; Auburn University Mccrary Institute; Auburn University Mccrary Institute For Cyber; Critical Infrastructure Security At Auburn University; Mccrary Institute At Auburn University,71,3916216,81380,15.18063669,11.30689711,US,90,High (1M-5M)
Auburn University at Montgomery,Auburn University At Montgomery,3,78547,3383,11.27146518,8.126813721,US,100,Low (<100K)
Augusta University,Augusta University; Augusta University School Of Computer,35,3688016,44887,15.12059947,10.71192578,US,90,High (1M-5M)
Austin Peay State University,Austin Peay State University,4,69093,2743,11.14322318,7.917171989,US,100,Low (<100K)
Babcock University,Babcock University,4,67262,7545,11.11636559,8.928772901,NG,100,Low (<100K)
Baker College,Baker College,3,3611,261,8.192016915,5.568344504,US,100,Low (<100K)
Bangladesh University of Engineering and Technology,Bangladesh University Of Engineering; University Of Engineering,8,508321,18631,13.13887038,9.832635812,BD,90,Medium (100K-1M)
Bar-Ilan University,Ilan University,9,3554015,59430,15.08358879,10.99257125,IL,95,High (1M-5M)
Bard College,Bard College,4,114395,3973,11.64742139,8.287528423,US,100,Medium (100K-1M)
Barnard College,Barnard College,3,293171,8235,12.58851475,9.016270068,US,100,Medium (100K-1M)
Baton Rouge Community College,Baton Rouge Community College,6,893,60,6.795705775,4.110873864,US,100,Low (<100K)
Baylor College of Medicine,Baylor College Of Medicine,7,27349080,164812,17.12419348,12.01256678,US,100,Elite (5M+)
Baylor University,Baylor University,7,2588074,40588,14.76642491,10.61125237,US,100,High (1M-5M)
Bellevue University,Bellevue University,14,59202,1728,10.9887275,7.455298486,US,100,Low (<100K)
Belmont University,Belmont University,3,35276,2460,10.47098647,7.80832305,US,100,Low (<100K)
Ben-Gurion University of the Negev,Ben-Gurion University; Ben-Gurion University Of The Negev; Israel Ben-Gurion University Of The Negev,55,5214074,95465,15.46687226,11.46652544,IL,90,Elite (5M+)
Benedict College,Benedict College,8,21120,858,9.958023085,6.755768922,US,100,Low (<100K)
Bennett University,Bennett University,4,81737,5797,11.31127429,8.665268309,IN,100,Low (<100K)
Bentley University,Bentley University,13,240421,7202,12.39015099,8.882252885,US,100,Medium (100K-1M)
Bermuda College,Bermuda College,8,29170,762,10.28093034,6.637258031,BM,100,Low (<100K)
Binghamton University,Binghamton University,6,1896006,38411,14.45526065,10.55612519,US,100,High (1M-5M)
Blackburn College,Blackburn College,6,51846,2243,10.85605235,7.716015267,US,100,Low (<100K)
Bond University,Bond University,3,724321,15215,13.49299132,9.630102785,AU,100,Medium (100K-1M)
Bossier Parish Community College,Bossier Parish Community College,3,996,82,6.90475077,4.418840608,US,100,Low (<100K)
Boston College,Boston College,25,3564650,47093,15.08657671,10.75990088,US,100,High (1M-5M)
Boston University,Boston University,37,24522026,198465,17.01508233,12.19837308,US,100,Elite (5M+)
Bournemouth University,Bournemouth University,11,827306,21037,13.62593113,9.954085605,GB,100,Medium (100K-1M)
Bowling Green State University,Bowling Green State University,3,1149638,27582,13.95495854,10.22495492,US,100,High (1M-5M)
Brandon University,Brandon University,4,143927,7516,11.87706845,8.924922401,CA,100,Medium (100K-1M)
Brock University,Brock University,3,921370,23535,13.73361806,10.06628644,CA,100,Medium (100K-1M)
Brown University,Bronze University; Brown University,21,14495620,137840,16.48935716,11.83385613,US,91,Elite (5M+)
Brunel University of London,Brunel University; University Of London,61,3261942,52905,14.99783359,10.87627203,GB,90,High (1M-5M)
Buncombe County Early College,Early College,4,132,7,4.890349128,2.079441542,US,90,Low (<100K)
Butler County Community College,Butler County Community College,17,2188,557,7.691200098,6.324358962,US,100,Low (<100K)
COMSATS University Islamabad,University Islamabad,3,2370714,48039,14.67870216,10.77978928,PK,95,High (1M-5M)
California Institute of Technology,California Institute Of Technology; California Institute Of Technology Caltech,15,36506557,243394,17.41300247,12.40244092,US,95,Elite (5M+)
California Polytechnic State University,California Polytechnic State University,6,592754,20844,13.29253644,9.94486939,US,100,Medium (100K-1M)
California State Polytechnic University,California State Polytechnic University,3,267297,12233,12.49611942,9.41197424,US,100,Medium (100K-1M)
Cape Cod Community College,Cape Cod Community College,3,598,69,6.395261598,4.248495242,US,100,Low (<100K)
Capella University,Capella University,4,23033,1862,10.04472666,7.529943371,US,100,Low (<100K)
Cardiff University,Cardiff University; University Of Cardiff,26,13255949,126134,16.39995707,11.74510804,GB,95,Elite (5M+)
Carleton University,Carleton University,18,4455281,77491,15.30960092,11.25792998,CA,100,High (1M-5M)
Carnegie Mellon University,Coordination Center At Carnegie Mellon University; Insider Threat Center At Carnegie Mellon University; University Carnegie; University Carnegie Mellon,16,16476758,157911,16.6174614,11.96979319,US,90,Elite (5M+)
Case Western Reserve University,Case Western Reserve University,10,16803006,171350,16.63706842,12.05146936,US,100,Elite (5M+)
Casper College,Casper College,4,7103,438,8.868413285,6.084499413,US,100,Low (<100K)
Catawba Valley Community College,Catawba Valley Community College,3,131,34,4.882801923,3.555348061,US,100,Low (<100K)
Catholic University of America,Catholic University Of America,5,1864676,33910,14.43859841,10.43149472,US,100,High (1M-5M)
Catholic University of Korea,Catholic University; University Catholic,20,3282752,53741,15.00419296,10.8919501,KR,95,High (1M-5M)
Cedarville University,Cedarville University,3,18543,3123,9.827901566,8.046869511,US,100,Low (<100K)
Central New Mexico Community College,Central New Mexico Community College,4,6395,279,8.763428074,5.634789603,US,100,Low (<100K)
Central Penn College,Penn College,3,918,83,6.823286122,4.430816799,US,90,Low (<100K)
Central Piedmont Community College,Central Piedmont Community College,5,1721,178,7.451241685,5.187385806,US,100,Low (<100K)
Century College,Century College,3,8406,356,9.036819971,5.877735782,US,100,Low (<100K)
Champlain College,Champlain College; Champlain College Online,20,23117,1566,10.04836681,7.356918242,US,95,Low (<100K)
Chandigarh University,Chandigarh University,6,430683,32691,12.97312992,10.39488568,IN,100,Medium (100K-1M)
Chapman University,Chapman University,4,366715,13989,12.81234299,9.546098068,US,100,Medium (100K-1M)
Charles University,Charles University; S University,24,9076169,147842,16.02116286,11.90390618,CZ,90,Elite (5M+)
China University of Political Science and Law,China University Of Political Science,4,36657,6634,10.50938696,8.800113947,CN,95,Low (<100K)
Chinese University of Hong Kong,Chinese University Of Hong Kong,6,17497687,196707,16.67757932,12.18947567,HK,100,Elite (5M+)
Chitkara University,Chitkara University,4,433846,24761,12.98044722,10.1170655,IN,100,Medium (100K-1M)
City College of New York,City College; City College Of New York,11,1905550,32359,14.46028176,10.38467837,US,90,High (1M-5M)
City University of Hong Kong,City University Of Hong Kong,4,7945566,115743,15.88812472,11.65913613,HK,100,Elite (5M+)
City University of New York,City University Of New York; University Of New York,36,4214089,84571,15.25394423,11.34535852,US,95,High (1M-5M)
City University of Seattle,City University Of Seattle,7,147531,3334,11.90180038,8.112227958,US,100,Medium (100K-1M)
Claflin University,Claflin University,6,14734,691,9.597980895,6.539585956,US,100,Low (<100K)
Clarkson University,Clarkson University,4,934233,16592,13.74748222,9.716736199,US,100,Medium (100K-1M)
Clemson University,Clemson University,23,4000761,75979,15.2019954,11.23822543,US,100,High (1M-5M)
Clinton College,Clinton College,3,572,109,6.350885717,4.700480366,US,100,Low (<100K)
College Board,College Board,9,112934,805,11.63456771,6.692083743,US,100,Medium (100K-1M)
College of Charleston,College Of Charleston,6,439914,11432,12.99433681,9.34425919,US,100,Medium (100K-1M)
College of DuPage,College Of Dupage,3,8012,1137,8.988820502,7.037027615,US,100,Low (<100K)
College of Management Academic Studies,College Of Management Academic,4,37073,1942,10.52067119,7.571988449,IL,95,Low (<100K)
College of Southern Idaho,College Of Southern Idaho,5,3949,159,8.281470858,5.075173815,US,100,Low (<100K)
College of Southern Maryland,College Of Southern Maryland,3,1933,152,7.567345676,5.030437921,US,100,Low (<100K)
College of Southern Nevada,College Of Southern Nevada,5,5113,373,8.539737156,5.924255797,US,100,Low (<100K)
College of Western Idaho,College Of Eastern Idaho; College Of Western Idaho,17,11801,820,9.376024288,6.710523109,US,96,Low (<100K)
College of the Desert,College Of The Desert,10,2947,240,7.988882253,5.484796933,US,100,Low (<100K)
Collin College,Collin College,3,4767,521,8.469682209,6.257667588,US,100,Low (<100K)
Colorado Northwestern Community College,Colorado Northwestern Community College,5,272,22,5.609471795,3.135494216,US,100,Low (<100K)
Columbia College Chicago,Columbia College; Columbia College Chicago; Columbia College Of Chicago,14,11821,1088,9.377717481,6.993015123,US,90,Low (<100K)
Columbia University,Columbia University; Columbia University Graduate School Of Journalism; Columbia University School For International; Columbia University School Of International; Knight First Amendment Institute At Columbia University; Peace Studies At Columbia University; Public Affairs At Columbia University,101,46977923,386483,17.66518835,12.86484575,US,90,Elite (5M+)
Community College of Baltimore County,Community College Of Baltimore,3,4066,334,8.310660906,5.814130532,US,95,Low (<100K)
Community College of Rhode Island,Community College Of Rhode Island,5,28397,605,10.254074,6.406879986,US,100,Low (<100K)
Concord University,Concord University,3,8814,605,9.084210095,6.406879986,US,100,Low (<100K)
Concordia University,Concordia University; Concordia University Research; University Concordia,24,3226394,66402,14.98687597,11.10349752,CA,95,High (1M-5M)
Cornell University,Cornell University; Researchers At Cornell University; University Cornell; University Of Cornell,61,56223949,471375,17.84485338,13.06341136,US,90,Elite (5M+)
Coventry University,Coventry University,8,954333,29451,13.76876899,10.2905171,GB,100,Medium (100K-1M)
Cranfield University,Cranfield University,9,2227371,35451,14.61633297,10.47593495,GB,100,High (1M-5M)
Crowder College,Crowder College,4,1170,79,7.065613364,4.382026635,US,100,Low (<100K)
Curtin University,Curtin University,12,5288209,93960,15.48099037,11.45063508,AU,100,Elite (5M+)
Cypress College,Cypress College,3,22351,799,10.01467108,6.684611728,US,100,Low (<100K)
Cyprus University of Technology,Cyprus University Of Technology; Technology University; Us University,23,384076,9554,12.85859833,9.164819857,CY,90,Medium (100K-1M)
Dartmouth College,Dartmouth College,12,6986238,88270,15.75945292,11.38816691,US,100,Elite (5M+)
De La Salle University,Fab Lab Of De La Salle University; Salle University,21,237631,11671,12.37847854,9.36494809,PH,90,Medium (100K-1M)
De La Salle-College of Saint Benilde,College Of Saint Benilde,3,4513,312,8.414938957,5.746203191,PH,90,Low (<100K)
De Montfort University,Montfort University,15,715575,23337,13.48084309,10.05783821,GB,95,Medium (100K-1M)
DePaul University,Depaul University,14,724721,22181,13.49354341,10.00703643,US,100,Medium (100K-1M)
DePauw University,Depauw University,19,62892,3996,11.04919015,8.293299359,US,100,Low (<100K)
DeSales University,Desales University,5,8549,792,9.053686562,6.675823222,US,100,Low (<100K)
DeVry University,Devry University,18,10784,1149,9.285911559,7.047517221,US,100,Low (<100K)
Deakin University,Deakin University; Deakin University Centre For Cyber Security Research,37,5711479,95213,15.55798874,11.46388227,AU,90,Elite (5M+)
Des Moines Area Community College,Des Moines Area Community College,14,1274,164,7.150701458,5.105945474,US,100,Low (<100K)
Doshisha Women's College of Liberal Arts,College Of Liberal Arts,8,52671,1571,10.87183928,7.360103973,JP,90,Low (<100K)
Drexel University,Drexel University,26,6001722,83521,15.60755715,11.33286535,US,100,Elite (5M+)
Duke University,Duke University,38,29682792,268592,17.20607808,12.5009525,US,100,Elite (5M+)
Dundee and Angus College,Angus College; S College,28,4640,130,8.442685139,4.875197323,GB,90,Low (<100K)
Duquesne University,Duquesne University,3,552237,14374,13.22173439,9.573245866,US,100,Medium (100K-1M)
Durham University,Durham University,5,6859376,109433,15.74112718,11.60307691,GB,100,Elite (5M+)
Dutch University Institute for Art History,Dutch University,5,93,33,4.543294782,3.526360525,IT,90,Low (<100K)
East Carolina University,Carolina University,9,2045206,40389,14.53100956,10.60633751,US,95,High (1M-5M)
Eastern New Mexico University,Eastern New Mexico University,6,34441,1853,10.44703203,7.525100746,US,100,Low (<100K)
Eindhoven University of Technology,Eindhoven University Of Technology,8,6640986,96047,15.70877115,11.47260335,NL,100,Elite (5M+)
Elms College,Elms College,4,6950,479,8.846640813,6.173786104,US,100,Low (<100K)
Elon University,Elon University,5,107709,5124,11.58719771,8.541885804,US,100,Medium (100K-1M)
Emerson College,Emerson College,6,55810,2108,10.92972626,7.65396918,US,100,Low (<100K)
Emory University,Emory University; Goizueta Business School At Emory University; Mary University,24,23447874,226983,16.97029043,12.33263481,US,90,Elite (5M+)
Endicott College,Endicott College,3,66233,2293,11.10094921,7.738052298,US,100,Low (<100K)
Erasmus University Rotterdam,Erasmus University,3,12328875,119109,16.32745471,11.68780271,NL,90,Elite (5M+)
Excelsior College,Excelsior College,6,16616,596,9.718181547,6.391917113,US,100,Low (<100K)
Fairfield University,Fairfield University,4,229386,6660,12.34316581,8.804024902,US,100,Medium (100K-1M)
Federation University,Federation University,3,463327,13321,13.04619051,9.497172083,AU,100,Medium (100K-1M)
Fife College,Fife College,4,784,84,6.665683718,4.442651256,GB,100,Low (<100K)
Flinders University,Flinders University,13,3605781,69144,15.09804923,11.14396103,AU,100,High (1M-5M)
Florida A&M University - Florida State University College of Engineering,Florida A M University,11,435330,7615,12.98386194,8.938006576,US,90,Medium (100K-1M)
Florida Gulf Coast University,Florida Gulf Coast University,8,159596,6278,11.98040717,8.744966011,US,100,Medium (100K-1M)
Florida Institute of Technology,Florida Institute Of Technology,7,1172310,15425,13.97448757,9.643809676,US,100,High (1M-5M)
Fordham University,Fordham University,12,794545,30670,13.58552616,10.33107286,US,100,Medium (100K-1M)
Forsyth Technical Community College,Forsyth Technical Community College,3,29104,369,10.27866526,5.913503006,US,100,Low (<100K)
Franklin University,Franklin University,3,770800,8228,13.55518551,9.01541978,US,100,Medium (100K-1M)
Franklin W. Olin College of Engineering,Olin College Of Engineering,3,48702,1225,10.79349591,7.111512116,US,95,Low (<100K)
Free University of Bozen-Bolzano,Free University; Free University Bolzano,9,521193,15066,13.16387761,9.620262201,IT,90,Medium (100K-1M)
Front Range Community College,Front Range Community College,4,6694,238,8.809116258,5.476463552,US,100,Low (<100K)
Fudan University,Fudan University,4,19987719,240695,16.81062864,12.39129001,CN,100,Elite (5M+)
Full Sail University,Sail University,3,266,109,5.587248658,4.700480366,US,95,Low (<100K)
Furman University,Furman University,4,141738,4610,11.86174262,8.436200032,US,100,Medium (100K-1M)
Gannon University,Gannon University,12,59082,2415,10.98669851,7.789868559,US,100,Low (<100K)
Gaston College,Gaston College,8,7933,231,8.978912601,5.446737372,US,100,Low (<100K)
George Washington University,University George Washington; Washington University,14,6403551,117457,15.67236339,11.6738361,US,95,Elite (5M+)
Georgetown University,Georgetown University; Georgetown University Center; Georgetown University Law Center; Georgetown University School Of Foreign Service; Technology At Georgetown University,99,8833057,116507,15.99401183,11.66571522,US,90,Elite (5M+)
Georgia Institute of Technology,Georgia Institute Of Technology,51,17916309,195674,16.70122203,12.1842104,US,100,Elite (5M+)
German University in Cairo,German University,7,127804,5524,11.75826094,8.617038526,EG,90,Medium (100K-1M)
Ghana Communication Technology University,Ghana Communication Technology University,5,15704,1632,9.661734412,7.398174093,GH,100,Low (<100K)
Goethe University Frankfurt,Goethe University,4,14745639,166501,16.506458,12.0227626,DE,90,Elite (5M+)
Gonzaga University,Gonzaga University,6,96363,4968,11.47588797,8.510973892,US,100,Low (<100K)
"Government College University, Faisalabad",Government College,4,1058575,21349,13.87243517,9.968807019,PK,90,High (1M-5M)
Grand Canyon University,Canyon University,6,19796,1676,9.89328569,7.424761762,US,95,Low (<100K)
Graz University of Technology,Graz University Of Technology,4,2855813,71338,14.86486747,11.17519844,AT,100,High (1M-5M)
Griffith University,Griffith University,13,5416890,97568,15.50503259,11.4883151,AU,100,Elite (5M+)
Guilford College,Guilford College,3,70905,1232,11.16911034,7.117205503,US,100,Low (<100K)
Guilford Technical Community College,Guilford Technical Community College,7,5249,856,8.565983356,6.753437919,US,100,Low (<100K)
Gujarat University,Gujarat University,6,165945,8912,12.01941771,9.095266164,IN,100,Medium (100K-1M)
Hainan University,China University; Hainan University,6,1684182,43528,14.33679114,10.68118266,CN,91,High (1M-5M)
Hamad bin Khalifa University,Hamad Bin Khalifa University; Khalifa University,20,618779,13040,13.33550508,9.47585352,QA,90,Medium (100K-1M)
Hampton University,Hampton University,9,727589,6697,13.49749298,8.809564253,US,100,Medium (100K-1M)
Harbin Engineering University,Engineering University,4,2823893,63684,14.85362734,11.06170434,CN,95,High (1M-5M)
Harbin Institute of Technology,Austrian Institute Of Technology; Harbin Institute Of Technology,11,14094593,221432,16.46130188,12.30787534,CN,90,Elite (5M+)
Harrisburg University of Science and Technology,Harrisburg University; Harrisburg University Of Science; University Of Science,29,29411,2097,10.28915803,7.648739789,US,90,Low (<100K)
Harvard University,Belfer Centre At Harvard University; Harvard University; Harvard University Belfer Center Cyber; Harvard University Berkman Klein Center; University Of Harvard,89,143061250,702852,18.77878343,13.46290305,US,90,Elite (5M+)
Hebrew University of Jerusalem,Hebrew University; Hebrew University Of Jerusalem; University Hebrew Of Jerusalem,28,11158255,147868,16.22769023,11.90408203,IL,90,Elite (5M+)
Heriot-Watt University,Watt University,9,1832481,34866,14.42118189,10.4592961,GB,95,High (1M-5M)
Hillsdale College,Hillsdale College,4,126951,994,11.75156434,6.902742737,US,100,Medium (100K-1M)
Hofstra University,Hofstra University,16,824608,22426,13.62266461,10.01802087,US,100,Medium (100K-1M)
Holon Institute of Technology,Holon Institute Of Technology,5,97834,4364,11.49103767,8.381373468,IL,100,Low (<100K)
Hong Kong Polytechnic University,Polytechnic University; University Polytechnic,17,9257669,152438,16.04096296,11.9345198,HK,95,Elite (5M+)
Hope College,He College; Hope College,8,204179,4942,12.22675724,8.505727713,US,91,Medium (100K-1M)
Howard University,Howard University,33,1258231,28965,14.04521812,10.27387801,US,100,High (1M-5M)
Hunter College,Hunter College,4,981834,22857,13.79717855,10.03705644,US,100,Medium (100K-1M)
Illinois Institute of Technology,Illinois Institute Of Technology,14,1691219,35069,14.34096072,10.46510134,US,100,High (1M-5M)
Illinois Valley Community College,Illinois Valley Community College,8,746,65,6.616065185,4.189654742,US,100,Low (<100K)
Imperial College London,Imperial College; Imperial College London,50,41729297,385088,17.54671403,12.86122976,GB,95,Elite (5M+)
Indian Institute of Technology Bombay,Indian Institute Of Technology Bombay,3,3060028,65343,14.93393495,11.0874209,IN,100,High (1M-5M)
Indian Institute of Technology Jodhpur,Indian Institute Of Technology Jodhpur,3,208401,8825,12.24722419,9.08545719,IN,100,Medium (100K-1M)
Indian Institute of Technology Kanpur,Indian Institute Of Technology Kanpur,9,2354559,52101,14.67186443,10.86095861,IN,100,High (1M-5M)
Indian Institute of Technology Kharagpur,Indian Institute Of Technology,42,3463807,71390,15.05787912,11.17592709,IN,95,High (1M-5M)
Indian Institute of Technology Madras,Indian Institute Of Technology Madras,7,2609992,67245,14.7748581,11.11611282,IN,100,High (1M-5M)
Indiana University Bloomington,Indiana University Bloomington,6,10958381,109166,16.2096152,11.6006341,US,100,Elite (5M+)
Indiana University of Pennsylvania,Indiana University Of Pennsylvania,10,136936,6748,11.82727625,8.817149625,US,100,Medium (100K-1M)
Indiana University – Purdue University Indianapolis,Indiana University; Purdue University; Purdue University Indianapolis,133,13891482,145465,16.44678648,11.88769766,US,90,Elite (5M+)
Innsbruck Medical University,University Innsbruck,6,4231643,38491,15.25810113,10.55820571,AT,95,High (1M-5M)
International Islamic University Malaysia,Islamic University,3,667312,33419,13.41101448,10.4169098,MY,90,Medium (100K-1M)
Italian University Line,University Italian; University Line,10,6715,343,8.812248018,5.840641657,IT,90,Low (<100K)
Ithaca College,Ithaca College,4,922290,13745,13.73461607,9.528503152,US,100,Medium (100K-1M)
Ivy Tech Community College of Indiana,Ivy Tech Community College,12,8402,421,9.036344064,6.045005314,US,95,Low (<100K)
Jacksonville University,Jacksonville University,3,213684,6945,12.27225825,8.845921233,US,100,Medium (100K-1M)
"Jawaharlal Nehru Technological University, Hyderabad",Jawaharlal Nehru Technological University,3,224758,13686,12.322784,9.524201756,IN,95,Medium (100K-1M)
Johns Hopkins University,Thomas Rid Of Johns Hopkins University; University Hopkins; University Johns Hopkins,21,76253284,496222,18.14957105,13.1147807,US,90,Elite (5M+)
KTH Royal Institute of Technology,Royal Institute Of Technology,7,8337678,116356,15.93629544,11.66441833,SE,95,Elite (5M+)
Kadir Has University,University Has,4,67219,4055,11.1157261,8.307952545,TR,95,Low (<100K)
Kaimosi Friends University,Friends University,6,2795,477,7.935945103,6.169610732,KE,95,Low (<100K)
Kaunas University of Technology,Kaunas University Of Technology,3,550476,18856,13.21854045,9.844639477,LT,100,Medium (100K-1M)
Kean University,Cybersecurity At Kean University; Kean University,9,74940,4426,11.22445642,8.395477433,US,90,Low (<100K)
Keio University,Keio University,6,7366587,119681,15.8124652,11.6925935,JP,100,Elite (5M+)
Kenyatta University,Kenyatta University,3,182732,13825,12.11578135,9.534306157,KE,100,Medium (100K-1M)
Kenyon College,Kenyon College,12,604859,3969,13.31275231,8.286521374,US,100,Medium (100K-1M)
Khalifa University of Science and Technology,Khalifa University Of Science,3,1026450,34616,13.84161778,10.45210017,AE,90,High (1M-5M)
Kim Il-sung University,Kim Il Sung University,5,17612,761,9.776392545,6.635946556,KP,100,Low (<100K)
Knox College,Knox College,6,61856,1850,11.03258055,7.523481313,US,100,Low (<100K)
Korea University,Korea University,14,9679964,116793,16.08556884,11.66816698,KR,100,Elite (5M+)
Kuwait College of Science and Technology,Kuwait College Of Science,3,40579,2130,10.61103061,7.664346632,KW,90,Low (<100K)
Kuwait University,Kuwait University,7,1076850,29446,13.8895516,10.29034732,KW,100,High (1M-5M)
Kyoto University of Education,University Education,3,1067366,13815,13.88070543,9.53358262,JP,95,High (1M-5M)
La Trobe University,Trobe University,9,4316346,95816,15.27792,11.4701954,AU,95,High (1M-5M)
Lafayette College,Lafayette College,4,203176,7876,12.2218328,8.9717024,US,100,Medium (100K-1M)
Lakehead University,Lakehead University,3,711557,16247,13.47521221,9.695725103,CA,100,Medium (100K-1M)
Lamar University,Lamar University,5,316356,7987,12.6646266,8.985695695,US,100,Medium (100K-1M)
Lancaster University,Lancaster University; Lancaster University Management School; University Of Lancaster,35,6310995,84105,15.65780407,11.33983319,GB,90,Elite (5M+)
Laramie County Community College,Laramie County Community College,5,2078,134,7.639642288,4.905274778,US,100,Low (<100K)
Laurentian University,Laurentian University,6,687662,13519,13.44105417,9.51192535,CA,100,Medium (100K-1M)
Lebanese French University,French University,4,32202,1859,10.37981489,7.528331767,IQ,90,Low (<100K)
Lehigh Carbon Community College,Lehigh Carbon Community College,3,424,47,6.052089169,3.871201011,US,100,Low (<100K)
Lehigh University,Lehigh University,9,2267232,42877,14.6340707,10.66611415,US,100,High (1M-5M)
Leiden University,Leiden University; University Of Leiden,19,11827133,145696,16.28590694,11.8892844,NL,95,Elite (5M+)
Leipzig University,University Leipzig,4,6316510,127186,15.65867756,11.75341372,DE,95,Elite (5M+)
Lewis University,Lewis University,9,27018,1655,10.2042956,7.412160335,US,100,Low (<100K)
Lewis and Clark Community College,Lewis Clark Community College,3,580,38,6.364750757,3.663561646,US,95,Low (<100K)
Liberty University,Liberty University; Strategic Leadership At Liberty University,10,35558,5807,10.47894857,8.666991557,US,90,Low (<100K)
Lincoln College,Lincoln College,17,25715,2117,10.15486865,7.658227526,US,100,Low (<100K)
Lincoln Land Community College,Lincoln Land Community College,3,1230,104,7.115582126,4.65396035,US,100,Low (<100K)
Lincoln University,Lincoln University; University Of Lincoln,11,763921,12655,13.54622097,9.44588669,NZ,95,Medium (100K-1M)
Liverpool John Moores University,Liverpool John Moores University,6,2022257,38198,14.51972527,10.55056462,GB,100,High (1M-5M)
London South Bank University,London South Bank University,3,444573,15122,13.0048718,9.623972043,GB,100,Medium (100K-1M)
Longwood University,Longwood University,4,71709,2106,11.18038549,7.653020414,US,100,Low (<100K)
Loras College,Loras College,3,7643,653,8.941676305,6.483107351,US,100,Low (<100K)
Loughborough University,Loughborough University,12,3726525,90407,15.13098699,11.41208804,GB,100,High (1M-5M)
Loyola University Chicago,Loyola University; Loyola University Chicago,12,2618977,48685,14.77829472,10.79314679,US,95,High (1M-5M)
M S Ramaiah University of Applied Sciences,University Of Applied Sciences,6,153233,9433,11.93972144,9.152075464,IN,95,Medium (100K-1M)
Maastricht University,Able University Maastricht; Able University Of Maastricht; Maastricht University; University Maastricht; University Of Maastricht,55,10904924,113604,16.20472508,11.6404828,NL,95,Elite (5M+)
"Mackay Junior College of Medicine, Nursing and Management",Junior College,3,116828,3075,11.66846661,8.031385331,TW,90,Medium (100K-1M)
Macquarie University,Macquarie University,23,5369727,101217,15.49628781,11.52503189,AU,100,Elite (5M+)
Marquette University,Marquette University,4,1211509,35776,14.00737807,10.48506051,US,100,High (1M-5M)
Marshall University,Marshall University,34,433832,12575,12.98041495,9.439545515,US,100,Medium (100K-1M)
Martin University,Martin University,4,234857,4213,12.36673636,8.346167594,US,100,Medium (100K-1M)
Marymount University,Marymount University,9,1553895,40610,14.25627588,10.61179424,US,100,High (1M-5M)
Maryville University,Marseille University; Maryville University,13,13396,761,9.50278608,6.635946556,US,90,Low (<100K)
Massachusetts Institute of Technology,Massachusetts Institute Of Technology,82,64172847,346122,17.97709075,12.75454948,US,100,Elite (5M+)
Massey University,Massey University,4,2790913,54064,14.8418797,10.89794231,NZ,100,High (1M-5M)
McGill University,Mcgill University,18,27193058,294675,17.11847231,12.59363173,CA,100,Elite (5M+)
McMaster University,Mcmaster University,6,18140263,182106,16.71364456,12.11234971,CA,100,Elite (5M+)
Memorial University of Newfoundland,Memorial University,5,2804568,58238,14.84676043,10.97231051,CA,90,High (1M-5M)
Mercer University,Mercer University,10,358521,8634,12.7897453,9.063578991,US,100,Medium (100K-1M)
Mercyhurst University,Mercyhurst University,9,19550,938,9.880781715,6.844815479,US,100,Low (<100K)
Miami University,Miami University,21,1469284,37420,14.20028645,10.52998732,US,100,High (1M-5M)
